"","case.id","sex","length","diameter","height","whole.weight","shucked.weight","viscera.weight","shell.weight","rings"
"1109",1109,"I",0.515,0.385,0.125,0.6115,0.3175,0.1265,0.15,8
"1554",1555,"I",0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
"2391",2392,"M",0.37,0.29,0.09,0.241,0.11,0.045,0.069,10
"3790",3791,"F",0.65,0.505,0.175,1.2075,0.5105,0.262,0.39,10
"842",842,"F",0.495,0.41,0.125,0.7555,0.3355,0.129,0.214,9
"3747",3748,"I",0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6
"3939",3940,"M",0.555,0.42,0.145,0.8695,0.3075,0.2575,0.25,14
"2755",2756,"F",0.525,0.415,0.15,0.7055,0.329,0.147,0.199,10
"2622",2623,"F",0.7,0.575,0.205,1.7975,0.7295,0.3935,0.5165,13
"258",258,"M",0.545,0.46,0.16,0.8975,0.341,0.1655,0.345,10
"858",858,"M",0.59,0.46,0.13,1.102,0.455,0.2055,0.33,12
"736",736,"M",0.51,0.39,0.125,0.6565,0.262,0.1835,0.175,10
"2861",2862,"F",0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12
"1599",1600,"I",0.53,0.42,0.13,0.8365,0.3745,0.167,0.249,11
"3204",3205,"F",0.665,0.53,0.185,1.3955,0.456,0.3205,0.49,15
"2071",2072,"F",0.565,0.44,0.135,0.83,0.393,0.1735,0.238,9
"2985",2986,"I",0.535,0.4,0.135,0.775,0.368,0.208,0.2055,8
"4125",4127,"M",0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11
"1580",1581,"I",0.5,0.4,0.12,0.616,0.261,0.143,0.1935,8
"3232",3233,"M",0.485,0.41,0.15,0.696,0.2405,0.1625,0.265,13
"3884",3885,"I",0.29,0.225,0.075,0.152,0.071,0.059,0.045,9
"882",882,"M",0.655,0.52,0.165,1.4095,0.586,0.291,0.405,9
"2707",2708,"M",0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
"522",522,"F",0.36,0.27,0.09,0.1885,0.0845,0.0385,0.055,5
"1110",1110,"M",0.52,0.4,0.145,0.7765,0.3525,0.1845,0.185,9
"1603",1604,"I",0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
"56",56,"F",0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,8
"1587",1588,"I",0.515,0.395,0.125,0.6635,0.32,0.14,0.17,8
"3607",3608,"M",0.515,0.39,0.14,0.678,0.341,0.1325,0.119,8
"1412",1413,"F",0.67,0.505,0.175,1.0145,0.4375,0.271,0.3745,10
"1999",2000,"I",0.35,0.25,0.07,0.1605,0.0715,0.0335,0.046,6
"2485",2486,"I",0.355,0.26,0.09,0.1925,0.077,0.038,0.065,8
"2045",2046,"I",0.405,0.31,0.09,0.312,0.138,0.06,0.087,8
"772",772,"I",0.485,0.375,0.14,0.521,0.2,0.123,0.17,8
"3427",3428,"M",0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
"2768",2769,"I",0.56,0.435,0.135,0.72,0.329,0.103,0.251,11
"3288",3289,"F",0.605,0.475,0.145,1.0185,0.4695,0.225,0.27,15
"447",447,"M",0.565,0.435,0.185,0.9815,0.329,0.136,0.39,13
"2994",2995,"M",0.61,0.475,0.175,1.024,0.409,0.261,0.322,9
"1702",1703,"F",0.635,0.49,0.17,1.2615,0.5385,0.2665,0.38,9
"3395",3396,"F",0.605,0.45,0.165,1.2225,0.357,0.202,0.385,13
"2675",2676,"M",0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
"3236",3237,"I",0.345,0.285,0.1,0.2225,0.0865,0.058,0.075,8
"2286",2287,"F",0.5,0.395,0.15,0.7145,0.3235,0.173,0.195,9
"2189",2190,"F",0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
"3261",3262,"F",0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
"97",97,"M",0.535,0.435,0.15,0.725,0.269,0.1385,0.25,9
"1971",1972,"F",0.675,0.51,0.185,1.473,0.6295,0.3025,0.4245,11
"3023",3024,"I",0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
"2859",2860,"F",0.72,0.565,0.18,1.719,0.8465,0.407,0.3875,11
"4128",4130,"I",0.57,0.425,0.14,0.7655,0.331,0.14,0.24,10
"3552",3553,"I",0.525,0.39,0.105,0.567,0.2875,0.1075,0.16,8
"1807",1808,"M",0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11
"1010",1010,"F",0.615,0.48,0.16,1.2525,0.585,0.2595,0.33,8
"292",292,"F",0.565,0.505,0.21,1.2765,0.501,0.279,0.355,12
"410",410,"M",0.57,0.44,0.095,0.827,0.3395,0.2215,0.235,8
"1303",1304,"F",0.535,0.41,0.13,0.7145,0.335,0.144,0.2075,9
"2136",2137,"F",0.56,0.425,0.125,0.932,0.361,0.213,0.335,9
"2726",2727,"I",0.4,0.305,0.1,0.3415,0.176,0.0625,0.0865,7
"1675",1676,"F",0.61,0.485,0.18,1.2795,0.5735,0.2855,0.355,7
"3757",3758,"I",0.52,0.41,0.14,0.699,0.3395,0.129,0.1945,10
"1208",1208,"F",0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
"1889",1890,"M",0.565,0.415,0.125,0.667,0.302,0.1545,0.185,7
"1367",1368,"M",0.61,0.48,0.17,1.137,0.4565,0.29,0.347,10
"2676",2677,"F",0.605,0.48,0.15,1.079,0.4505,0.2835,0.293,10
"1061",1061,"I",0.265,0.195,0.055,0.084,0.0365,0.0175,0.025,7
"1967",1968,"M",0.665,0.515,0.2,1.2695,0.5115,0.2675,0.436,12
"3149",3150,"F",0.7,0.54,0.215,1.978,0.6675,0.3125,0.71,24
"347",347,"F",0.525,0.42,0.16,0.756,0.2745,0.173,0.275,9
"3595",3596,"M",0.66,0.515,0.2,1.6465,0.749,0.422,0.401,11
"1392",1393,"M",0.635,0.475,0.17,1.1935,0.5205,0.2695,0.3665,10
"3446",3447,"I",0.5,0.385,0.11,0.596,0.3015,0.104,0.151,8
"1423",1424,"F",0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11
"1370",1371,"M",0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
"1954",1955,"F",0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
"3659",3660,"M",0.545,0.41,0.14,0.737,0.349,0.15,0.212,9
"3543",3544,"I",0.46,0.34,0.09,0.384,0.1795,0.068,0.11,8
"4162",4164,"I",0.39,0.31,0.085,0.344,0.181,0.0695,0.079,7
"3185",3186,"F",0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,11
"3935",3936,"M",0.52,0.41,0.115,0.77,0.263,0.157,0.26,11
"1780",1781,"M",0.515,0.35,0.155,0.9225,0.4185,0.198,0.273,9
"2918",2919,"I",0.6,0.445,0.135,0.9205,0.445,0.2035,0.253,9
"1638",1639,"I",0.575,0.445,0.17,0.8015,0.3475,0.1465,0.25,9
"1332",1333,"I",0.57,0.44,0.13,0.7665,0.347,0.1785,0.202,10
"3098",3099,"F",0.55,0.43,0.15,0.655,0.2635,0.122,0.221,8
"830",830,"I",0.415,0.32,0.11,0.3735,0.175,0.0755,0.109,7
"2908",2909,"F",0.58,0.45,0.17,0.9705,0.4615,0.232,0.248,9
"498",498,"F",0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
"1004",1004,"M",0.595,0.455,0.15,1.044,0.518,0.2205,0.27,9
"586",586,"I",0.495,0.39,0.125,0.6655,0.284,0.162,0.2,11
"979",979,"M",0.535,0.43,0.14,0.7165,0.2855,0.1595,0.2155,8
"241",241,"M",0.565,0.425,0.16,0.9425,0.3495,0.2185,0.275,17
"2623",2624,"F",0.705,0.56,0.205,2.381,0.9915,0.5005,0.624,10
"3577",3578,"M",0.6,0.475,0.23,1.157,0.522,0.2235,0.36,11
"3179",3180,"I",0.27,0.195,0.07,0.102,0.045,0.0135,0.034,8
"3254",3255,"F",0.435,0.35,0.105,0.4195,0.194,0.1005,0.13,7
"1858",1859,"F",0.51,0.4,0.12,0.7005,0.347,0.1105,0.195,10
"1673",1674,"I",0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
"3306",3307,"I",0.41,0.3,0.115,0.2595,0.097,0.0515,0.08,10
"2466",2467,"M",0.425,0.325,0.12,0.3755,0.142,0.1065,0.105,9
"2669",2670,"M",0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
"1439",1440,"I",0.405,0.31,0.095,0.3425,0.1785,0.064,0.0855,8
"1101",1101,"I",0.5,0.375,0.12,0.542,0.215,0.116,0.17,9
"4043",4045,"F",0.58,0.425,0.155,0.873,0.3615,0.249,0.239,10
"2579",2580,"M",0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7
"868",868,"F",0.615,0.5,0.175,1.377,0.5585,0.33,0.292,12
"527",527,"M",0.155,0.11,0.04,0.0155,0.0065,0.003,0.005,3
"1945",1946,"F",0.635,0.505,0.155,1.2895,0.594,0.314,0.345,11
"3759",3760,"M",0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9
"2435",2436,"F",0.465,0.38,0.135,0.579,0.208,0.1095,0.22,14
"3969",3970,"I",0.38,0.3,0.09,0.277,0.1655,0.0625,0.082,6
"2975",2976,"I",0.32,0.215,0.095,0.305,0.14,0.067,0.0885,6
"1450",1451,"I",0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,7
"1753",1754,"M",0.72,0.57,0.2,1.8275,0.919,0.366,0.485,10
"602",602,"F",0.385,0.315,0.11,0.286,0.1225,0.0635,0.0835,10
"54",54,"F",0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,10
"2905",2906,"M",0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
"419",419,"F",0.63,0.5,0.155,1.005,0.367,0.199,0.36,16
"1811",1812,"M",0.65,0.525,0.19,1.6125,0.777,0.3685,0.3965,11
"2597",2598,"F",0.6,0.46,0.15,1.235,0.6025,0.274,0.29,8
"4022",4024,"I",0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
"2010",2011,"I",0.435,0.325,0.12,0.346,0.159,0.084,0.095,7
"1964",1965,"F",0.66,0.535,0.205,1.4415,0.5925,0.2775,0.49,10
"703",703,"F",0.445,0.33,0.105,0.4525,0.18,0.103,0.123,9
"3058",3059,"I",0.62,0.475,0.16,0.907,0.371,0.167,0.3075,11
"1839",1840,"I",0.42,0.325,0.1,0.368,0.1675,0.0625,0.1135,11
"2070",2071,"I",0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11
"841",841,"M",0.49,0.385,0.125,0.609,0.3065,0.096,0.1775,8
"926",926,"I",0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,7
"2411",2412,"I",0.5,0.395,0.12,0.537,0.2165,0.1085,0.1785,9
"2326",2327,"M",0.43,0.345,0.115,0.3045,0.0925,0.055,0.12,11
"312",312,"M",0.56,0.44,0.14,0.971,0.443,0.2045,0.265,14
"144",144,"M",0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
"2599",2600,"M",0.61,0.48,0.15,1.1495,0.564,0.274,0.264,8
"3753",3754,"I",0.475,0.36,0.11,0.452,0.191,0.099,0.13,8
"2417",2418,"M",0.31,0.235,0.06,0.12,0.0415,0.033,0.04,11
"2266",2267,"F",0.635,0.51,0.175,1.2125,0.5735,0.261,0.36,14
"2125",2126,"M",0.47,0.375,0.115,0.4265,0.1685,0.0755,0.15,8
"3977",3978,"I",0.475,0.35,0.12,0.4905,0.2035,0.13,0.135,7
"2049",2050,"I",0.445,0.32,0.12,0.378,0.152,0.0825,0.12,8
"2756",2757,"I",0.525,0.4,0.13,0.6445,0.345,0.1285,0.2,8
"2427",2428,"M",0.26,0.19,0.075,0.0945,0.0445,0.02,0.03,6
"964",964,"M",0.505,0.41,0.125,0.642,0.289,0.133,0.155,9
"1041",1041,"M",0.67,0.525,0.165,1.6085,0.682,0.3145,0.4005,11
"2940",2941,"M",0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10
"1824",1825,"I",0.185,0.135,0.04,0.027,0.0105,0.0055,0.009,5
"706",706,"M",0.415,0.325,0.14,0.417,0.1535,0.1015,0.144,10
"3008",3009,"F",0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
"423",423,"F",0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,13
"3481",3482,"I",0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,6
"2474",2475,"M",0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14
"2243",2244,"M",0.465,0.36,0.13,0.5265,0.2105,0.1185,0.165,10
"1323",1324,"I",0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9
"1823",1824,"M",0.73,0.575,0.21,2.069,0.9285,0.409,0.643,11
"2013",2014,"M",0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
"728",728,"F",0.48,0.375,0.105,0.525,0.2185,0.1195,0.155,12
"2129",2130,"M",0.595,0.47,0.15,0.8915,0.359,0.2105,0.245,12
"303",303,"M",0.37,0.28,0.1,0.252,0.1065,0.0595,0.074,8
"1116",1116,"M",0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9
"855",855,"M",0.57,0.435,0.13,0.7535,0.349,0.1755,0.194,10
"1144",1144,"M",0.575,0.445,0.145,0.847,0.415,0.1945,0.22,9
"3593",3594,"F",0.655,0.53,0.165,1.2835,0.583,0.1255,0.4,8
"1791",1792,"M",0.55,0.42,0.16,1.3405,0.6325,0.311,0.344,10
"3130",3131,"M",0.67,0.515,0.165,1.1735,0.526,0.285,0.316,11
"3533",3534,"I",0.4,0.31,0.115,0.314,0.1545,0.0595,0.087,6
"1657",1658,"M",0.6,0.48,0.165,0.9165,0.4135,0.1965,0.2725,9
"256",256,"M",0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
"1345",1346,"M",0.585,0.475,0.15,1.065,0.5315,0.199,0.2885,10
"2900",2901,"F",0.55,0.435,0.14,0.745,0.347,0.174,0.2265,9
"1353",1354,"M",0.6,0.48,0.155,1.014,0.451,0.1885,0.325,11
"2525",2526,"M",0.59,0.455,0.16,1.09,0.5,0.2215,0.292,9
"3366",3367,"M",0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
"3428",3429,"I",0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
