Time,Year,Quarter,Revenue.Billions
1,2006,3,4.837
2,2006,4,7.115
3,2007,1,5.264
4,2007,2,5.41
5,2007,3,6.789
6,2007,4,9.608
7,2008,1,7.512
8,2008,2,7.464
9,2008,3,12.91
10,2008,4,11.88
11,2009,1,9.084
12,2009,2,9.734
13,2009,3,12.21
14,2009,4,15.68
15,2010,1,13.5
16,2010,2,15.7
17,2010,3,20.34
18,2010,4,26.74
19,2011,1,24.67
20,2011,2,28.57
21,2011,3,28.27
22,2011,4,46.33
23,2012,1,39.19
24,2012,2,35.02
25,2012,3,35.97
26,2012,4,54.51
27,2013,1,43.6
28,2013,2,35.32
29,2013,3,37.47
30,2013,4,57.59
31,2014,1,45.65
32,2014,2,37.43
33,2014,3,42.12
34,2014,4,74.6
35,2015,1,58.01
36,2015,2,49.6
37,2015,3,51.5
38,2015,4,75.87
39,2016,1,50.56
40,2016,2,42.36
41,2016,3,46.85
42,2016,4,78.35
43,2017,1,52.9
44,2017,2,45.41
45,2017,3,52.58
46,2017,4,88.29
47,2018,1,61.14
48,2018,2,53.26
49,2018,3,62.9
50,2018,4,84.31
51,2019,1,58.02
52,2019,2,53.81
53,2019,3,64.04
54,2019,4,91.82
55,2020,1,58.31
56,2020,2,59.69
57,2020,3,64.7
58,2020,4,111.44
