"ID.number","Name","State","Public.Private","Average.math.SAT","Average.verbal.SAT","Average.combined.SAT","average.ACT","Number.of.applicants","Number.accepted","Number.enrolled","Pct.students.top.10.HS","Full.time.students","Part.time.students","In.state.tuition","Out.of.state.tuition","Pct.faculty.with.PhDs","Student.faculty.ratio","Graduation.rate","Acceptance.rate"
1061,"Alaska Pacific University","AK",2,490,482,972,20,193,146,55,16,249,869,7560,7560,76,11.9,15,75.6476683937824
1063,"University of Alaska at Fairbanks","AK",1,499,462,961,22,1852,1427,928,NA,3885,4519,1742,5226,67,10,NA,77.0518358531317
1065,"University of Alaska Southeast","AK",1,NA,NA,NA,NA,146,117,89,4,492,1849,1742,5226,39,9.5,39,80.1369863013699
11462,"University of Alaska at Anchorage","AK",1,459,422,881,20,2065,1598,1162,NA,6209,10537,1742,5226,48,13.7,NA,77.3849878934625
1002,"Alabama Agri. & Mech. Univ.","AL",1,NA,NA,NA,17,2817,1920,984,NA,3958,305,1700,3400,53,14.3,40,68.1576144834931
1003,"Faulkner University","AL",2,NA,NA,NA,20,345,320,179,NA,1367,578,5600,5600,52,32.8,55,92.7536231884058
1004,"University of Montevallo","AL",1,NA,NA,NA,21,1351,892,570,18,2385,331,2220,4440,72,18.9,51,66.0251665433013
1005,"Alabama State University","AL",1,NA,NA,NA,NA,4639,3272,1278,NA,4051,405,1500,3000,48,18.7,15,70.5324423367105
1009,"Auburn University-Main Campus","AL",1,575,501,1076,24,7548,6791,3070,25,16262,1716,2100,6300,85,16.7,69,89.9708532061473
1012,"Birmingham-Southern College","AL",2,575,525,1100,26,805,588,287,67,1376,207,11660,11660,74,14,72,73.0434782608696
1016,"University of North Alabama","AL",1,NA,NA,NA,NA,1087,702,625,NA,3772,1034,1704,2970,62,19.4,76,64.5814167433303
1019,"Huntingdon College","AL",2,513,446,959,23,608,520,127,26,538,126,8080,8080,63,11.4,44,85.5263157894737
1020,"Jacksonville State University","AL",1,NA,NA,NA,20,1627,1413,887,NA,5160,1475,1740,2610,66,20.1,33,86.8469575906577
1023,"Judson College","AL",2,NA,NA,NA,22,313,228,137,10,552,67,5780,5780,70,17.9,43,72.8434504792332
1024,"Livingston University","AL",1,NA,NA,NA,19,1206,957,444,NA,1627,132,1740,1740,58,18.8,36,79.3532338308458
1028,"Miles College","AL",2,NA,NA,NA,NA,686,427,242,NA,746,123,4000,4000,35,16.7,15,62.2448979591837
1029,"University of Mobile","AL",2,NA,NA,NA,22,452,331,269,17,1417,301,6150,6150,59,16.6,52,73.2300884955752
1033,"Oakwood College","AL",2,382,378,760,17,949,605,385,NA,1316,135,6639,6639,52,14.5,NA,63.7513171759747
1036,"Samford University","AL",2,NA,NA,NA,NA,1680,1395,691,34,2959,402,8236,8236,74,14.7,61,83.0357142857143
1041,"Spring Hill College","AL",2,525,480,990,24,773,694,230,NA,942,224,11478,11478,80,14.4,70,89.7800776196636
1044,"Stillman College","AL",2,NA,NA,NA,NA,629,614,248,NA,866,22,4460,4460,47,14.3,47,97.6152623211447
1046,"Talladega College","AL",2,NA,NA,NA,NA,4414,1500,335,30,908,119,5666,5666,56,15.5,46,33.9827820570911
1047,"Troy State University at Troy","AL",1,510,470,980,20,1471,1281,824,18,4343,990,1697,2883,50,23,48,87.0836165873555
1050,"Tuskegee University","AL",2,NA,NA,NA,NA,2267,1827,611,20,2825,144,6735,6735,70,12.2,65,80.5910895456551
1051,"University of Alabama at Tuscaloosa","AL",1,NA,NA,NA,23,7593,5972,2682,NA,13780,1599,2172,5424,80,17.3,50,78.6513894376399
1052,"University of Alabama at Birmingham","AL",1,NA,NA,NA,21,1797,1260,938,24,6960,4698,2220,4440,96,6.7,33,70.1168614357262
1055,"University of Alabama at Huntsville","AL",1,542,468,1010,24,1376,957,445,NA,2727,3394,2480,4960,83,12.7,38,69.5494186046512
1057,"University of South Alabama","AL",1,NA,NA,NA,23,2328,2110,1047,NA,7516,2943,2208,3108,80,13.3,43,90.6357388316151
8310,"Auburn University at Montgomery","AL",1,NA,NA,NA,21,985,868,645,NA,3477,1929,1905,5715,74,18.1,42,88.1218274111675
1085,"University of Arkansas at Monticello","AR",1,NA,NA,NA,NA,826,794,662,NA,4539,357,1536,3552,54,42.6,NA,96.1259079903148
1086,"University of Arkansas at Pine Bluff","AR",1,368,326,694,16,1450,1360,744,NA,2993,1020,1392,3216,47,16.2,NA,93.7931034482759
1088,"Arkansas College (Lyon College)","AR",2,NA,NA,NA,25,708,334,166,46,530,182,8644,8644,79,12.6,54,47.1751412429379
1089,"Arkansas Tech University","AR",1,NA,NA,NA,21,1734,1729,951,12,3602,939,1730,3460,57,19.6,48,99.7116493656286
1090,"Arkansas State University","AR",1,NA,NA,NA,21,2688,2633,1488,NA,7212,1707,1800,3720,71,20,39,97.9538690476191
1092,"University of Central Arkansas","AR",1,NA,NA,NA,22,3131,2703,1792,NA,7402,1119,1700,3274,71,20.5,36,86.3302459278186
1094,"University of the Ozarks","AR",2,NA,NA,NA,NA,218,215,126,15,570,59,4800,4800,49,12.8,NA,98.6238532110092
1098,"Henderson State University","AR",1,NA,NA,NA,NA,1490,1490,771,21,2942,997,1440,2880,58,19,68,100
1099,"Hendrix College","AR",2,564,525,1089,26,823,721,274,52,954,6,8800,8800,82,13.1,63,87.6063183475091
1100,"John Brown University","AR",2,509,484,993,23,605,405,284,24,961,99,6398,6398,68,13.3,75,66.9421487603306
1101,"University of Arkansas at Little Rock","AR",1,NA,NA,NA,19,1766,1322,1194,NA,5753,4058,2136,5352,61,14.7,19,74.8584371460929
1102,"Ouachita Baptist University","AR",2,NA,NA,NA,NA,910,773,450,31,1310,61,6530,6530,63,13.3,65,84.9450549450549
1103,"Philander Smith College","AR",2,NA,NA,NA,NA,350,350,222,12,701,239,2370,2370,41,18.1,NA,100
1106,"Williams Baptist College","AR",2,NA,NA,NA,19,220,210,131,12,509,97,3952,3952,62,18,NA,95.4545454545455
1107,"Southern Arkansas University","AR",1,NA,NA,NA,NA,792,792,499,26,2229,270,1500,2340,40,17,33,100
1108,"University of Arkansas at Fayetteville","AR",1,NA,NA,NA,NA,3235,3108,2133,25,9978,1530,1932,5028,73,14.8,39,96.0741885625966
10311,"Harding University","AR",2,530,490,1020,24,1721,1068,806,35,3128,213,5504,5504,71,17.7,73,62.0569436374201
1074,"Grand Canyon University","AZ",2,485,441,926,22,497,393,169,NA,1364,454,6870,6870,56,14.2,81,79.0744466800805
1081,"Arizona State University Main campus","AZ",1,521,453,974,23,12809,10308,3761,24,22593,7585,1828,7434,88,18.9,48,80.4746662502928
1082,"Northern Arizona University","AZ",1,495,444,939,22,5891,4931,1973,23,11249,2682,1828,6746,78,21.7,41,83.7039551858768
1083,"University of Arizona","AZ",1,526,462,983,23,14079,12238,4529,29,21664,4894,1828,7434,91,19.6,49,86.9237872007955
29022,"Prescott College","AZ",2,NA,NA,1000,23,321,227,129,NA,693,40,9800,9800,55,2.3,NA,70.7165109034268
1117,"Azusa Pacific University","CA",2,474,428,902,21,1080,948,504,25,2032,122,15500,15500,47,12.8,NA,87.7777777777778
1122,"Biola University","CA",2,500,440,940,22,1118,896,459,NA,2058,111,11388,11388,67,16.6,36,80.1431127012522
1125,"California Baptist College","CA",2,441,395,836,19,308,262,157,NA,592,113,6370,6370,56,13,43,85.0649350649351
1131,"California Institute of Technology","CA",2,750,660,1410,NA,1916,507,210,98,912,NA,16695,16695,100,6.5,83,26.4613778705637
1133,"California Lutheran University","CA",2,495,436,931,21,563,247,247,23,1427,432,12950,12950,72,12.4,60,43.8721136767318
1137,"California State Univ. at Fullerton","CA",1,476,395,871,21,6004,4480,1470,NA,12147,6681,1606,8990,88,19.9,56,74.6169220519653
1138,"California State Univ. at Hayward","CA",1,NA,NA,NA,NA,2121,698,1126,NA,6790,2988,1432,8803,NA,20.5,47,32.9090051862329
1139,"California State Univ. at Long Beach","CA",1,456,382,838,21,10278,7746,2576,NA,NA,NA,1053,8233,80,20.3,48,75.3648569760654
1140,"California State Univ. at Los Angeles","CA",1,NA,NA,NA,NA,5609,2756,1268,NA,9358,5222,1788,7454,53,20.4,49,49.1353182385452
1141,"California State Univ. at Dominguez Hills","CA",1,NA,NA,NA,NA,1493,1194,428,NA,4246,2457,1440,8820,90,18.1,24,79.9732083054253
1142,"California State Univ. at San Bernardino","CA",1,440,399,839,NA,2329,1619,1521,NA,6609,4398,NA,NA,93,20.3,49,69.5148132245599
1143,"California Polytechnic-San Luis","CA",1,547,455,1002,21,7811,3817,1650,47,12911,1404,2033,7380,72,19.8,59,48.8669824606324
1144,"California Poly-Pomona","CA",1,NA,NA,NA,NA,5945,3887,1566,NA,11177,4027,NA,5904,73,18.5,50,65.3826745164003
1146,"California State University at Chico","CA",1,479,420,899,21,4816,3922,1278,NA,11822,1343,NA,5904,NA,18.9,63,81.436877076412
1147,"California State University at Fresno","CA",1,NA,NA,NA,NA,4540,3294,1483,5,13494,1254,1802,7706,90,21.2,61,72.5550660792951
1149,"Humboldt State University","CA",1,501,455,956,22,3467,2190,565,NA,5637,678,1599,9979,80,16.4,65,63.1670031727718
1150,"California State University at Sacramento","CA",1,476,408,884,NA,4348,3026,1234,NA,13724,8161,1716,9096,79,19.2,47,69.5952161913523
1151,"San Diego State University","CA",1,457,394,851,20,9402,7020,2151,20,16407,5550,1742,8384,87,19.5,41,74.6649649010849
1153,"California State University at Northridge","CA",1,444,365,809,19,7672,5331,2157,NA,15567,7544,1440,5904,NA,20.3,43,69.4864442127216
1154,"San Francisco State University","CA",1,444,372,816,19,5385,3539,1259,NA,13165,5937,1584,8964,75,17.4,55,65.719591457753
1155,"San Jose State University","CA",1,467,371,838,19,5210,4094,1420,NA,14392,7263,1976,8820,72,17.4,46,78.5796545105566
1156,"Sonoma State University","CA",1,482,486,968,22,2726,982,557,47,4239,1259,NA,7830,79,16.1,40,36.0234776228907
1157,"California State University at Stanislaus","CA",1,449,400,849,19,1042,830,461,NA,2895,1678,1584,8868,89,15.3,NA,79.6545105566219
1158,"United States International University","CA",2,464,431,895,19,322,168,51,NA,237,67,11760,11760,90,15.7,23,52.1739130434783
1164,"Chapman University","CA",2,501,456,957,22,959,771,351,23,1662,209,16624,16624,72,12.8,47,80.3962460896768
1170,"Claremont McKenna College","CA",2,670,600,1270,28,1860,767,227,71,887,1,17000,17000,99,9.6,87,41.2365591397849
1171,"Harvey Mudd College","CA",2,740,630,1370,NA,1377,572,178,95,654,5,17230,17230,100,8.2,100,41.5395787944808
1172,"Pitzer College","CA",2,590,560,1150,26,1133,630,220,37,750,30,17688,17688,100,10.4,73,55.6045895851721
1173,"Pomona College","CA",2,700,640,1340,31,3037,1130,390,80,1500,NA,17720,17720,94,8.9,91,37.2077708264735
1174,"Scripps College","CA",2,590,560,1150,26,855,632,139,60,569,7,17238,17238,95,8.2,73,73.9181286549708
1179,"College of Notre Dame","CA",2,NA,NA,NA,NA,344,264,97,11,500,331,12600,12600,77,10.4,43,76.7441860465116
1183,"Holy Names College","CA",2,450,448,898,NA,258,157,43,NA,273,317,11480,11480,75,7.8,44,60.8527131782946
1196,"Dominican College of San Rafael","CA",2,452,432,884,NA,213,173,75,NA,648,150,12790,12790,56,11.6,50,81.2206572769953
1215,"La Sierra University","CA",2,468,420,888,20,659,530,325,NA,1067,268,12180,12180,69,12.6,49,80.4248861911988
1216,"University of La Verne","CA",2,472,431,903,22,1597,969,226,16,1431,1522,13540,13540,66,14.1,47,60.6762680025047
1236,"Menlo College","CA",2,447,382,829,19,315,275,115,NA,553,9,13975,13975,46,15.4,NA,87.3015873015873
1238,"Mills College","CA",2,520,530,1050,25,529,414,132,32,781,43,14100,14100,NA,10.3,64,78.2608695652174
1243,"Mount St. Mary's College","CA",2,506,466,972,21,657,537,113,37,1039,466,12474,12474,53,11.9,72,81.7351598173516
1249,"Occidental College","CA",2,570,510,1080,NA,2324,1319,370,52,1686,35,16560,16560,91,10.5,79,56.7555938037866
1252,"Pacific Christian College","CA",2,474,426,900,22,167,142,89,9,414,165,6500,6500,38,10.7,67,85.0299401197605
1253,"Fresno Pacific College","CA",2,532,476,1008,22,346,274,146,51,704,63,9900,9900,59,10.5,54,79.1907514450867
