X1,Price,Lot.Size,Waterfront,Age,Land.Value,New.Construct,Central.Air,Fuel.Type,Heat.Type,Sewer.Type,Living.Area,Pct.College,Bedrooms,Fireplaces,Bathrooms,Rooms,Fireplace,Beds
1,132500,0.09,No,42,50000,No,No,Electric,Electric,Private,906,35,2,1,1.0,5,Yes,2 or fewer
2,181115,0.92,No,0,22300,No,No,Gas,Hot Water,Private,1953,51,3,None,2.5,6,No,3
3,109000,0.19,No,133,7300,No,No,Gas,Hot Water,Public,1944,51,4,1,1.0,8,Yes,4 or more
4,155000,0.41,No,13,18700,No,No,Gas,Hot Air,Private,1944,51,3,1,1.5,5,Yes,3
5,86060,0.11,No,0,15000,Yes,Yes,Gas,Hot Air,Public,840,51,2,None,1.0,3,No,2 or fewer
6,120000,0.68,No,31,14000,No,No,Gas,Hot Air,Private,1152,22,4,1,1.0,8,Yes,4 or more
7,153000,0.4,No,33,23300,No,No,Oil,Hot Water,Private,2752,51,4,1,1.5,8,Yes,4 or more
8,170000,1.21,No,23,14600,No,No,Oil,Hot Air,Private,1662,35,4,1,1.5,9,Yes,4 or more
9,90000,0.83,No,36,22200,No,No,Electric,Electric,Private,1632,51,3,None,1.5,8,No,3
10,122900,1.94,No,4,21200,No,No,Gas,Hot Air,None,1416,44,3,None,1.5,6,No,3
11,325000,2.29,No,123,12600,No,No,Oil,Hot Air,Private,2894,51,7,None,1.0,12,No,4 or more
12,120000,0.92,No,1,22300,No,No,Gas,Hot Air,Private,1624,51,3,None,2.0,6,No,3
13,85860,8.97,No,13,4800,No,No,Electric,Electric,Private,704,41,2,None,1.0,4,No,2 or fewer
14,97000,0.11,No,153,3100,No,No,Gas,Hot Water,Public,1383,57,3,None,2.0,5,No,3
15,127000,0.14,No,9,300,No,No,Oil,Hot Air,Private,1300,41,3,None,1.5,8,No,3
16,89900,0.0,No,88,2500,No,No,Gas,Hot Water,Public,936,57,3,None,1.0,4,No,3
17,155000,0.13,No,9,300,No,No,Oil,Hot Air,Private,1300,41,3,None,1.5,7,No,3
18,253750,2.0,No,0,49800,No,Yes,Gas,Hot Air,None,2816,71,4,1,2.5,12,Yes,4 or more
19,60000,0.21,No,82,8500,No,No,Oil,Hot Water,Private,924,35,2,None,1.0,6,No,2 or fewer
20,87500,0.88,No,17,19400,No,No,Oil,Hot Air,Private,1092,35,3,None,1.0,6,No,3
21,112000,1.0,No,12,8600,No,No,Electric,Electric,Private,1056,35,3,None,1.0,7,No,3
22,104900,0.43,No,21,5600,No,No,Electric,Electric,Public,1600,39,3,None,1.5,4,No,3
23,148635,0.32,No,1,6200,Yes,Yes,Gas,Hot Air,Private,1576,39,3,None,2.5,7,No,3
24,150000,0.03,No,24,5100,No,No,Oil,Hot Air,Private,2080,39,3,None,2.0,6,No,3
25,90400,0.36,No,16,5200,No,No,Electric,Electric,Public,1600,39,3,None,1.5,4,No,3
26,248800,4.0,No,28,5500,No,No,Oil,Hot Air,Private,2224,39,4,None,3.0,10,No,4 or more
27,135000,1.83,No,126,6000,No,No,Oil,Hot Water,Private,1656,39,3,None,1.0,6,No,3
28,145000,3.0,No,26,4500,No,No,Oil,Hot Air,Private,1170,39,4,None,1.5,5,No,4 or more
29,457000,0.43,Yes,53,2700,No,No,Oil,Hot Air,Public,2461,39,4,1,2.0,10,Yes,4 or more
30,140000,0.44,No,56,19400,No,Yes,Oil,Hot Air,Private,1544,71,3,1,1.5,7,Yes,3
31,130000,1.24,No,51,24800,No,No,Oil,Hot Water,Private,1220,71,2,2 or more,1.0,4,Yes,2 or fewer
32,187000,0.46,No,3,15200,No,No,Gas,Hot Air,Private,1858,52,3,1,2.5,7,Yes,3
33,229000,0.87,No,9,41100,No,No,Gas,Hot Air,Public,2219,64,3,1,2.0,8,Yes,3
34,227000,1.8,No,201,25500,No,No,Oil,Hot Air,Private,1876,52,3,None,2.5,5,No,3
35,179900,0.46,No,1,15200,No,No,Gas,Hot Air,Private,2026,52,4,1,2.5,6,Yes,4 or more
36,169900,0.91,No,19,20200,No,Yes,Gas,Hot Air,Private,1671,71,4,1,3.0,8,Yes,4 or more
37,209900,0.46,No,1,15200,No,No,Gas,Hot Air,None,2060,52,4,1,2.5,7,Yes,4 or more
38,169900,0.59,No,0,17300,No,No,Gas,Hot Air,Private,1884,52,4,1,2.5,9,Yes,4 or more
39,293000,7.24,No,43,36600,No,No,Gas,Hot Water,Private,2022,71,4,2 or more,3.0,6,Yes,4 or more
