"","Year","Team","G","MP","NFGM","NFGA","PCTFG","N3PM","N3PA","PCT3P","N2PM","N2PA","PCT2P","NFTM","NFTA","PCTFT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","2015-16","Golden State Warriors*",82,242.4,42.5,87.3,48.7,13.1,31.6,41.6,29.4,55.7,52.8,16.7,21.8,76.3,10,36.2,46.2,28.9,8.4,6.1,15.2,20.7,114.9
"2","2015-16","Oklahoma City Thunder*",82,241.8,41.1,86.4,47.6,8.3,23.7,34.9,32.9,62.6,52.4,19.7,25.2,78.2,13.1,35.6,48.6,23,7.4,5.9,15.9,20.6,110.2
"3","2015-16","Sacramento Kings",82,241.5,40,86.4,46.4,8,22.4,35.9,32,64,50,18.5,25.5,72.5,10.6,33.7,44.2,24.5,8.9,4.5,16.2,20.4,106.6
"4","2015-16","Houston Rockets*",82,241.8,37.7,83.5,45.2,10.7,30.9,34.7,27,52.6,51.4,20.4,29.4,69.4,11.3,31.7,43.1,22.2,10,5.2,15.9,21.8,106.5
"5","2015-16","Boston Celtics*",82,241.2,39.2,89.2,43.9,8.7,26.1,33.5,30.5,63.1,48.3,18.5,23.5,78.8,11.6,33.3,44.9,24.2,9.2,4.2,13.7,21.9,105.7
"6","2015-16","Portland Trail Blazers*",82,241.5,38.6,85.9,45,10.5,28.5,37,28.1,57.4,49,17.4,23,75.4,11.6,33.9,45.5,21.3,6.9,4.6,14.6,21.7,105.1
"7","2015-16","Los Angeles Clippers*",82,241.8,38.3,82.4,46.5,9.7,26.7,36.4,28.6,55.7,51.3,18.2,26.2,69.2,8.8,33.3,42,22.8,8.6,5.6,13,21.3,104.5
"8","2015-16","Cleveland Cavaliers*",82,242.1,38.7,84,46,10.7,29.6,36.2,27.9,54.4,51.4,16.3,21.7,74.8,10.6,33.9,44.5,22.7,6.7,3.9,13.6,20.3,104.3
"9","2015-16","Washington Wizards",82,240.9,39.5,85.8,46,8.6,24.2,35.8,30.8,61.6,50.1,16.5,22.5,73,9.1,32.8,41.8,24.5,8.6,3.9,14.5,20.8,104.1
"10","2015-16","San Antonio Spurs*",82,240.3,40.1,82.9,48.4,7,18.5,37.5,33.2,64.4,51.5,16.4,20.4,80.3,9.4,34.5,43.9,24.5,8.3,5.9,13.1,17.5,103.5
"11","2015-16","Charlotte Hornets*",82,242.1,37,84.4,43.9,10.6,29.4,36.2,26.4,55,47.9,18.7,23.7,79,9,35,43.9,21.7,7.3,5.3,12.6,18.1,103.4
"12","2015-16","Atlanta Hawks*",82,241.8,38.6,84.4,45.8,9.9,28.4,35,28.7,56.1,51.2,15.6,20,78.3,8.3,33.8,42.1,25.6,9.1,5.9,15,19.1,102.8
"13","2015-16","New Orleans Pelicans",82,241.2,38.5,85.9,44.8,8.6,23.8,36,29.9,62.1,48.2,17.3,22.2,77.6,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7
"14","2015-16","Toronto Raptors*",82,241.2,36.7,81.3,45.1,8.6,23.4,37,28,58,48.3,20.8,26.7,77.7,10.2,33.2,43.4,18.7,7.8,5.5,13.1,19.6,102.7
"15","2015-16","Minnesota Timberwolves",82,242.4,37.7,81.3,46.4,5.5,16.4,33.8,32.2,64.9,49.6,21.4,27,79.2,10,31.5,41.6,23.4,8,4.6,15,20.7,102.4
"16","2015-16","Dallas Mavericks*",82,244,37.4,84.1,44.4,9.8,28.6,34.4,27.5,55.6,49.5,17.7,22.3,79.4,9.2,33.9,43.1,22.1,6.8,3.7,12.8,19.5,102.3
