Date,W5000,VINIX,AMZN,SBUX,BAC,PG
1/30/2012,11.47,120.25,192.15,24.24,7.07,63.21
2/6/2012,11.78,123.17,183.14,24.145,7.97,63.51
2/13/2012,11.84,123.93,191.59,24.625,8.25,64.23
2/21/2012,11.92,124.97,182.26,24.13,8.11,64.42
2/27/2012,11.97,125.52,178.53,24.115,8.04,66.7
3/5/2012,11.92,125.28,180.26,24.52,7.97,66.95
3/12/2012,11.99,125.97,183.39,25.555,7.99,67.71
3/19/2012,12.32,129.57,185.52,26.775,9.53,67.21
3/26/2012,12.38,130.2,202.87,27.955,9.93,67.46
4/2/2012,12.39,129.91,198.05,28.335,9.68,67.56
4/9/2012,12.07,126.62,191.87,28.71,8.93,66.81
4/16/2012,11.96,125.49,185.5,29.825,8.79,66.78
4/23/2012,11.93,125.26,188.24,29.28,8.18,66.65
4/30/2012,12.21,128.13,231.9,28.685,8.11,63.64
5/7/2012,11.96,125.57,225.16,27.74,7.96,64.25
5/14/2012,11.7,122.82,222.93,26.835,7.35,63.58
5/21/2012,11.49,120.85,218.11,26.85,6.83,63.39
5/29/2012,11.65,122.41,214.75,27.79,7.44,62.95
6/4/2012,11.15,117.48,214.57,26.95,6.9,61.4
6/11/2012,11.41,120.36,216.5,26.415,7.28,62.54
6/18/2012,11.72,123.71,222.66,27.09,7.76,62.29
6/25/2012,11.46,120.89,220.07,26.6475,7.6,59.31
7/2/2012,11.93,125.05,229.32,26.395,8.05,61.19
7/9/2012,11.84,123.93,225.05,26.195,7.56,61.55
7/16/2012,11.83,124.06,216.01,26.45,7.81,64.81
7/23/2012,11.78,123.81,226.01,25.3,7.09,64.39
7/30/2012,12.06,127.02,236.09,23.44,7.28,65.1
8/6/2012,12.14,127.88,233.99,21.74,7.64,65.81
8/13/2012,12.24,128.92,232.44,23.055,7.72,66.48
8/20/2012,12.38,130.28,240.35,24.025,8.15,66.75
8/27/2012,12.31,129.61,243.92,24.57,8.07,67.11
9/4/2012,12.3,129.17,247.88,24.755,8,67.4
9/10/2012,12.52,131.45,257.09,25.415,8.58,68.51
9/17/2012,12.8,134.47,258,24.83,9.3,69.25
9/24/2012,12.74,134.1,254.805,25.58,9.1,69.76
10/1/2012,12.63,132.3,252.01,25.0725,8.96,69.45
10/8/2012,12.73,133.43,259.06,24.38,9.28,69.1
10/15/2012,12.59,132.02,244.18,23.835,9.44,68.71
10/22/2012,12.54,131.47,233.78,22.65,9.55,68.5
10/31/2012,12.38,129.5,232.8931,22.95,9.32,69.24
11/5/2012,12.43,130,234.33,25.505,9.75,68.67
11/12/2012,12.11,126.71,226.47,25.34,9.39,67.08
11/19/2012,12.17,127.45,229.71,24.87,9.49,67.92
11/26/2012,12.35,129.27,243.62,25.445,9.835,69.48
12/3/2012,12.4,129.64,250.3291,25.8946,9.8,69.58
12/10/2012,12.5,130.57,247.77,26.48,10.57,70.22
12/17/2012,12.6,131.73,253.86,27.29,11,69.93
12/24/2012,12.6,131.45,258.62,26.845,11.25,68.52
12/31/2012,12.43,130.52,250.87,26.815,11.61,67.89
1/7/2013,12.75,133.82,268.4592,27.8602,12.09,68.62
1/14/2013,12.83,134.68,272.73,27.335,11.47,69.63
1/22/2013,13.03,136.71,270.19,27.495,11.35,69.95
1/28/2013,13.11,137.43,276.04,28.01,11.48,73.77
2/4/2013,13.07,137.07,259.98,28.045,11.48,75.25
2/11/2013,13.27,139.12,257.21,28.07,11.86,75.81
2/19/2013,13.41,140.52,269.75,27.225,12.19,77.38
2/25/2013,13.02,136.62,259.87,26.605,11.03,75.92
3/4/2013,13.34,140.12,273.11,27.85,11.41,76.68
3/11/2013,13.63,143.05,271.24,29.305,12.15,77.35
3/18/2013,13.62,142.73,257.89,28.465,12.56,76.16
3/25/2013,13.61,142.69,256.02,28.345,12.4,76.68
4/1/2013,13.69,143.05,261.61,28.435,12.15,77.7
4/8/2013,13.69,143.22,258.95,29.06,12.21,78.79
4/15/2013,13.57,142.26,267.72,28.855,11.98,79.65
4/22/2013,13.66,143.2,263.55,29.32,11.72,81.4
4/29/2013,13.95,146.08,249.74,30.29,12.38,77.68
5/6/2013,14.16,148.31,255.72,31.24,12.88,77.75
5/13/2013,14.32,149.96,264.51,31.41,12.98,78.59
5/20/2013,14.62,153.04,267.63,31.915,13.51,79.09
5/28/2013,14.55,152.48,267.29,32.13,13.35,80.86
6/3/2013,14.39,150.77,266.88,31.73,13.55,77.66
6/10/2013,14.42,151.07,281.07,33.055,13.3,78.07
6/17/2013,14.39,150.78,278.06,33.015,13.21,78.96
6/24/2013,13.81,144.74,270.61,32.005,12.3,76.58
7/1/2013,14.21,147.89,282.1,33.12,12.93,78.02
7/8/2013,14.44,150.3,290.59,34.145,13.28,78.76
7/15/2013,14.82,154.18,306.57,34.83,13.88,81.51
7/22/2013,14.94,155.41,303.48,34.51,14.92,81.22
7/29/2013,14.86,154.49,306.1,36.225,14.52,80.09
8/5/2013,15.07,156.55,300.99,36.985,14.8,81.4
8/12/2013,14.93,155.05,296.69,36.465,14.41,81.62
8/19/2013,14.54,151.17,285.57,35.145,14.15,79.59
8/26/2013,14.67,152.2,286.21,35.94,14.49,78.54
9/3/2013,14.5,150.71,288.8,35.8,14.25,77.75
9/9/2013,14.8,153.71,299.71,36.22,14.48,78.16
9/16/2013,15.03,156.16,296.06,37.62,14.53,80.16
9/23/2013,15.08,156.58,311.49,37.68,14.14,79.28
9/30/2013,15.02,154,312.64,38.485,13.8,75.59
10/7/2013,14.9,153.55,310.03,38.4305,13.81,75.65
10/14/2013,15.19,156.75,310.7,39.05,14.35,78.74
10/21/2013,15.5,159.95,326.44,39.73,14.52,78.97
10/28/2013,15.64,161.55,358.16,39.355,14.23,81.3
11/4/2013,15.68,162.12,358.74,40.185,14.04,81.33
11/11/2013,15.7,162.63,354.378,40.495,14.4,82.26
11/18/2013,15.87,164.53,366.18,40.27,14.92,84.57
11/25/2013,15.97,165.61,376.64,40.355,15.81,85.41
12/2/2013,15.97,165.53,392.3,40.535,15.73,83.34
12/9/2013,16.04,166.3,384.89,39.865,15.58,84.78
12/16/2013,15.87,164.36,388.97,38.23,15.24,81.69
12/23/2013,16.24,168.22,402.92,39.16,15.69,81.31
12/30/2013,16.16,168.6,393.37,39.275,15.54,82
1/6/2014,16.03,167.33,393.63,38.085,16.66,80.64
1/13/2014,15.99,166.71,390.98,37.56,16.43,80.01
1/21/2014,16.21,168.97,407.05,36.825,17.01,80.18
1/27/2014,15.72,163.3,386.28,37.105,16.31,78.47
2/3/2014,15.37,159.69,346.15,34.485,16.35,75.7
2/10/2014,15.87,165.14,360.87,37.4,16.72,78.03
2/18/2014,16.27,169.05,353.65,36.985,16.47,77.97
2/24/2014,16.36,169.74,351.78,36.28,16.53,77.86
3/3/2014,16.35,169.64,359.78,35.235,16.3,77.48
3/10/2014,16.63,172.62,370.53,36.78,17.47,78.53
3/17/2014,16.48,171,375.04,37.09,17.11,79.84
3/24/2014,16.46,170.88,351.85,37.885,17.37,79.3
3/31/2014,16.58,171.5,336.365,36.69,17.2,80.6
4/7/2014,16.31,169.05,317.76,35.215,16.38,80.49
4/14/2014,16.17,167.81,315.91,34.655,16,80.81
4/21/2014,16.54,171.61,330.87,35.24,16.09,81.56
4/28/2014,16.49,171.42,296.58,35.465,14.95,82.94
5/5/2014,16.63,172.85,310.05,35.46,15.08,81.7
5/12/2014,16.75,174.11,302.86,35.575,15.07,81.73
5/19/2014,16.65,173.17,296.755,35.51,14.67,79.93
5/27/2014,16.89,175.69,310.82,36.83,15.22,80.08
6/2/2014,16.98,176.96,308.84,36.925,15.26,80.36
6/9/2014,17.26,179.46,327.5,37.59,15.84,80.09
6/16/2014,17.13,178.3,327.62,37.545,15.28,79.69
6/23/2014,17.36,179.81,327.24,38.365,15.64,79.52
6/30/2014,17.36,179.66,324.78,38.69,15.37,78.59
7/7/2014,17.47,181.31,333.55,39.345,15.94,80.19
7/14/2014,17.44,181.34,355.32,39.28,15.57,81.32
7/21/2014,17.4,181.07,359.76,38.805,15.52,80.28
7/28/2014,17.43,181.56,320.41,39.18,15.5,79.26
8/4/2014,17.1,177.94,313.65,38.765,15.05,79.22
8/11/2014,17.13,177.9,318.33,38.935,15.22,81.48
8/18/2014,17.44,181.2,334.53,38.795,15.45,82.44
8/25/2014,17.66,183.69,334.02,38.985,16.29,83.54
9/2/2014,17.73,184.17,342.38,38.74,16.27,82.98
9/8/2014,17.71,184.18,342.34,38.835,16.35,83.32
9/15/2014,17.53,182.65,323.89,37.46,16.74,83.87
9/22/2014,17.57,182.74,324.5,37.3,17.03,84.81
9/29/2014,17.42,181.29,321.82,37.635,17.01,84.44
10/6/2014,17.29,180.15,322.2,37.5725,17.29,83.57
10/13/2014,16.49,171.98,306.45,36.095,16.4,83.37
10/20/2014,16.81,174.69,306.21,37.35,16.26,84.18
10/27/2014,17.3,180,289.97,37.985,16.59,85.95
11/3/2014,17.82,185.19,305.72,38.05,17.27,87.38
11/10/2014,18,187.23,305.11,38.825,17.37,89.45
11/17/2014,18.01,187.62,323.05,38.915,17.09,87.84
11/24/2014,18.27,190.29,335.64,40.26,17.18,88.11
12/1/2014,18.11,188.9,326,40.425,16.79,90.08
12/8/2014,18.18,189.63,306.64,41.9,17.66,90.76
12/15/2014,17.58,183.2,306.07,40.445,16.85,89.2
12/22/2014,18.36,190.4,306.54,40.27,17.71,92.6
12/29/2014,18.49,191.55,312.04,41.19,18.11,92.64
1/5/2015,17.68,185.2,302.19,39.94,17.38,90.01
1/12/2015,17.75,185.96,291.41,40.115,16.68,89.92
1/20/2015,17.69,185.47,289.44,40.6125,15.26,91.19
1/26/2015,18.04,188.67,309.66,44.06,15.85,89.58
2/2/2015,17.68,185.38,364.47,43.995,15.46,85.12
2/9/2015,17.93,187.91,370.56,44.41,16.35,85.05
2/17/2015,18.4,193,375.43,46.015,16.63,85.49
2/23/2015,18.49,193.92,380.14,46.79,16.2,85.39
3/2/2015,18.56,194.71,385.655,47.1125,16.01,85.41
3/9/2015,18.25,191.32,378.56,46.52,16.17,83.09
3/16/2015,18.3,191.57,373.35,47.0225,16.13,83.56
3/23/2015,18.52,193.72,375.11,48.685,15.72,84.86
3/30/2015,18.38,190.49,374.59,47.99,15.52,82.72
4/6/2015,18.35,190.03,377.04,47.26,15.51,83.04
4/13/2015,18.44,191.2,382.36,48.5,15.8,83.43
4/20/2015,18.5,191.94,389.51,47.97,15.57,82.87
4/27/2015,18.56,192.75,438.56,50.87,15.56,80.6
5/4/2015,18.57,193.29,423.04,50.445,16.44,80.35
5/11/2015,18.51,192.63,432.85,49.5,16.49,80.27
5/18/2015,18.74,194.93,425.24,51.18,16.51,80.74
5/26/2015,18.53,192.73,425.47,50.84,16.5,79.14
6/1/2015,18.6,193.51,430.92,52.22,16.55,78.85
6/8/2015,18.36,190.62,423.5,51.53,17.08,77.71
6/15/2015,18.4,191.18,423.67,52.27,17.47,78.12
6/22/2015,18.74,193.85,436.29,53.9,17.47,80.45
6/29/2015,18.17,187.99,429.86,53.55,16.89,78.32
7/6/2015,18.26,189.07,436.04,54.305,16.94,80.05
7/13/2015,18.53,191.96,455.57,55.7,17.02,81.91
7/20/2015,18.74,194.6,488.1,56.21,18.12,82.19
7/27/2015,18.2,189.09,531.41,56.98,17.67,79.97
8/3/2015,18.48,191.92,535.03,58.19,17.77,76.4
8/10/2015,18.55,192.62,524,56.27,18.04,76.38
8/17/2015,18.55,192.61,535.22,57.74,17.77,75.53
8/24/2015,16.74,173.51,463.37,50.34,15.29,69.14
8/31/2015,17.43,180.84,512.89,54.71,16.34,70.67
9/8/2015,17.43,180.67,517.54,55.21,16.16,69.98
9/14/2015,17.29,179.26,521.38,56.29,15.96,68.06
9/21/2015,17.42,179.61,548.39,57.54,15.7,70.65
9/28/2015,16.66,171.89,504.06,55.77,15.47,71.77
10/5/2015,17.56,181.56,543.68,59.04,15.69,73.22
10/12/2015,17.83,184.42,550.19,60.54,15.52,74.33
10/19/2015,17.95,185.94,573.15,60.97,16.14,75.16
10/26/2015,18.25,189.41,608.61,63.43,16.51,77.49
11/2/2015,18.54,192.45,628.35,62.24,17.06,76.6
11/9/2015,18.34,190.29,655.49,61.34,17.68,75.4
11/16/2015,18.11,188.08,647.81,60.68,17.43,75.3
11/23/2015,18.41,191.26,678.99,62.64,17.47,75.97
11/30/2015,18.39,190.77,664.8,61.39,17.43,74.84
12/7/2015,18.31,190.55,669.83,61.89,17.54,78.37
12/14/2015,17.8,185.57,657.91,59.92,16.8,78.29
12/21/2015,17.82,184.45,664.51,59.54,16.97,78.95
12/28/2015,18.14,187.71,675.2,60.19,17.13,79.92
1/4/2016,17.51,183.8,636.99,58.26,16.43,78.37
1/11/2016,16.71,175.74,617.74,57.82,15.31,76.67
1/19/2016,16.29,171.91,574.48,58.55,14.24,76.73
1/25/2016,16.25,171.55,596.53,57.71,12.96,76.85
2/1/2016,16.8,177.28,574.81,61.4,13.96,81.12
2/8/2016,16.04,169.55,488.1,54.14,12.27,82.62
2/16/2016,16.42,173.6,521.1,56.41,12.25,81.47
2/22/2016,16.86,178.23,559.5,58.87,12.54,82.13
2/29/2016,16.8,177.11,552.52,58.21,12.52,80.29
3/7/2016,17.46,183.56,562.8,58,13.53,83.1
3/14/2016,17.59,185.34,573.37,58.65,13.64,81.17
3/21/2016,17.88,187.28,553.98,59.1,13.84,83.32
3/28/2016,17.73,185.98,579.87,58.96,13.62,82.62
4/4/2016,18,188.74,593.19,60.25,13.51,83.21
4/11/2016,17.8,186.61,595.93,60.9,12.97,82.73
4/18/2016,18.28,191.45,635.35,60.89,14.17,82.83
4/25/2016,18.24,190.87,626.2,57.77,14.96,81.41
5/2/2016,18.21,190.31,683.85,57.36,14.77,80.97
5/9/2016,18.01,188.35,679.75,56.64,13.99,82.12
5/16/2016,18.08,189.23,710.66,55.53,13.93,81.63
5/23/2016,17.93,187.65,696.75,54.6,14.47,80.2
6/1/2016,18.41,192.47,719.44,54.82,14.86,81.79
6/6/2016,18.51,193.43,726.73,55.59,14.52,82.77
6/13/2016,18.24,190.75,715.24,55.04,13.6,82.57
6/20/2016,18.3,190.27,714.01,55.38,13.54,83.04
6/27/2016,17.55,182.73,691.36,53.69,12.18,81.23
7/5/2016,18.33,190.88,728.1,56.77,12.74,85.44
7/11/2016,18.79,195.41,753.78,56.32,13.21,85.75
7/18/2016,19.04,198.16,736.07,56.92,14.11,85.93
7/25/2016,19.07,198.34,739.61,57.95,14.37,85.8
8/1/2016,19.11,198.59,767.74,57.63,14.33,86.41
8/8/2016,19.21,199.65,766.56,55.36,15.13,85.76
8/15/2016,19.3,200.64,768.49,55.25,15.02,87.02
8/22/2016,19.19,200.07,759.48,55.85,15.18,86.85
8/29/2016,19.19,199.91,771.29,56.8,15.84,88.3
